Full, log(Age), M,log(Teff),Mbol, Mv,(U-B)o,(B-V)o,(V-R)o,(V-I)o,(V-J)o
10.080,1492,0.8346,3.495,-3.15,0.46,1.42,1.61,1.39,3.41,5.43,
10.080,1493,0.8346,3.485,-3.31,0.52,1.40,1.62,1.41,3.57,5.68,
10.080,1494,0.8346,3.474,-3.47,0.62,1.38,1.62,1.43,3.75,5.98,
10.080,1495,0.8346,3.466,-3.60,0.68,1.36,1.62,1.45,3.88,6.19,
10.080,1496,0.8346,3.456,-3.76,0.75,1.34,1.62,1.48,4.04,6.45,
10.080,1497,0.8346,3.445,-3.93,0.81,1.33,1.62,1.50,4.20,6.71,
10.080,1498,0.8346,3.435,-4.09,0.88,1.31,1.62,1.52,4.36,6.97,
10.080,1499,0.8346,3.425,-4.26,0.95,1.29,1.63,1.54,4.52,7.24,
10.080,1500,0.8346,3.418,-4.37,1.00,1.27,1.63,1.56,4.63,7.42,
10.080,1501,0.5838,3.700,-4.44,-4.20,0.95,1.08,0.53,1.00,1.59,
10.080,1502,0.5838,4.148,-4.44,-3.40,-0.70,-0.13,-0.03,-0.09,-0.28,
10.080,1503,0.5838,4.393,-4.44,-2.07,-1.02,-0.24,-0.10,-0.25,-0.60,
10.080,1504,0.5838,4.550,-4.43,-1.17,-1.11,-0.29,-0.13,-0.31,-0.72,
10.080,1505,0.5838,4.678,-4.39,-0.21,-1.15,-0.32,-0.14,-0.34,-0.77,
10.080,1506,0.5838,4.807,-4.35,0.73,-1.17,-0.34,-0.15,-0.36,-0.80,
10.080,1507,0.5838,4.900,-4.27,1.47,-1.19,-0.35,-0.16,-0.37,-0.83,
10.080,1508,0.5838,4.993,-4.18,2.21,-1.20,-0.37,-0.17,-0.39,-0.86,
10.080,1509,0.5838,5.073,-3.94,2.98,-1.20,-0.37,-0.17,-0.40,-0.87,
10.080,1510,0.5838,5.120,-3.47,3.76,-1.21,-0.38,-0.17,-0.40,-0.87,
10.080,1511,0.5838,5.095,-2.31,4.76,-1.21,-0.37,-0.17,-0.40,-0.87,
10.080,1512,0.5838,5.094,-2.15,4.91,-1.21,-0.37,-0.17,-0.40,-0.87,
10.080,1513,0.5838,5.093,-2.00,5.05,-1.21,-0.37,-0.17,-0.40,-0.87,
10.080,1514,0.5838,5.088,-1.84,5.18,-1.21,-0.37,-0.17,-0.40,-0.87,
10.080,1515,0.5838,5.082,-1.68,5.30,-1.21,-0.37,-0.17,-0.40,-0.87,
10.080,1516,0.5838,5.076,-1.53,5.41,-1.21,-0.37,-0.17,-0.40,-0.87,
10.080,1517,0.5838,5.067,-1.37,5.51,-1.20,-0.37,-0.17,-0.40,-0.87,
10.080,1518,0.5838,5.056,-1.22,5.59,-1.20,-0.37,-0.17,-0.39,-0.87,
10.080,1519,0.5838,5.045,-1.06,5.67,-1.20,-0.37,-0.17,-0.39,-0.87,
10.080,1520,0.5838,5.042,-1.02,5.69,-1.20,-0.37,-0.17,-0.39,-0.87,
10.080,1521,0.5838,5.021,-0.70,5.88,-1.20,-0.37,-0.17,-0.39,-0.86,
10.080,1522,0.5838,5.006,-0.43,6.04,-1.20,-0.37,-0.17,-0.39,-0.86,
10.080,1523,0.5838,4.995,-0.23,6.16,-1.20,-0.37,-0.17,-0.39,-0.86,
10.080,1524,0.5838,4.985,-0.05,6.27,-1.20,-0.37,-0.17,-0.39,-0.86,
10.080,1525,0.5838,4.974,0.13,6.38,-1.20,-0.37,-0.17,-0.39,-0.85,
10.080,1526,0.5838,4.964,0.31,6.49,-1.20,-0.36,-0.17,-0.38,-0.85,
10.080,1527,0.5838,4.954,0.48,6.59,-1.19,-0.36,-0.17,-0.38,-0.85,
10.080,1528,0.5838,4.944,0.66,6.70,-1.19,-0.36,-0.16,-0.38,-0.84,
10.080,1529,0.5838,4.934,0.84,6.81,-1.19,-0.36,-0.16,-0.38,-0.84,
10.080,1530,0.5838,4.924,1.02,6.92,-1.19,-0.36,-0.16,-0.38,-0.84,
10.080,1531,0.5838,4.924,1.02,6.92,-1.19,-0.36,-0.16,-0.38,-0.84,
10.060,1532,0.6000,3.593,7.67,8.71,1.11,1.36,0.86,1.66,2.62,
10.060,1533,0.6200,3.603,7.50,8.50,1.06,1.33,0.83,1.57,2.55,
10.060,1534,0.6400,3.613,7.34,8.24,1.03,1.29,0.81,1.50,2.44,
10.060,1535,0.6600,3.624,7.17,7.99,1.00,1.25,0.78,1.43,2.33,
10.060,1536,0.6800,3.634,6.99,7.73,0.96,1.20,0.75,1.37,2.22,
10.060,1537,0.7000,3.644,6.82,7.47,0.91,1.15,0.71,1.30,2.11,
10.060,1538,0.7200,3.655,6.65,7.22,0.85,1.10,0.68,1.23,2.01,
10.060,1539,0.7400,3.665,6.48,6.98,0.78,1.06,0.64,1.17,1.90,
10.060,1540,0.7600,3.676,6.31,6.73,0.71,1.01,0.60,1.11,1.80,
10.060,1541,0.7800,3.687,6.13,6.48,0.64,0.97,0.56,1.05,1.70,
10.060,1542,0.8000,3.699,5.94,6.23,0.57,0.92,0.52,0.98,1.60,
10.060,1543,0.8200,3.708,5.77,6.01,0.51,0.88,0.50,0.94,1.52,
10.060,1544,0.8400,3.718,5.59,5.79,0.45,0.85,0.48,0.89,1.44,
10.060,1545,0.8600,3.727,5.40,5.57,0.38,0.81,0.45,0.85,1.37,
10.060,1546,0.8800,3.735,5.21,5.35,0.32,0.78,0.43,0.82,1.31,
10.060,1547,0.8950,3.741,5.06,5.18,0.28,0.75,0.42,0.80,1.27,
10.060,1548,0.9150,3.747,4.87,4.98,0.25,0.73,0.41,0.78,1.23,
10.060,1549,0.9350,3.750,4.69,4.79,0.23,0.72,0.40,0.76,1.21,
10.060,1550,0.9500,3.755,4.48,4.58,0.20,0.70,0.39,0.75,1.18,
10.060,1551,0.9500,3.755,4.48,4.57,0.20,0.70,0.39,0.75,1.18,
10.060,1552,0.9621,3.754,4.33,4.42,0.20,0.70,0.39,0.75,1.18,
10.060,1553,0.9744,3.752,4.18,4.27,0.22,0.71,0.40,0.76,1.19,
10.060,1554,0.9857,3.746,4.02,4.13,0.25,0.74,0.41,0.78,1.23,
10.060,1555,0.9967,3.723,3.91,4.09,0.41,0.84,0.45,0.87,1.40,
10.060,1556,0.9994,3.710,3.91,4.15,0.51,0.89,0.48,0.92,1.50,
10.060,1557,1.0039,3.688,3.78,4.12,0.67,0.98,0.54,1.02,1.67,
10.060,1558,1.0041,3.687,3.77,4.11,0.68,0.98,0.55,1.02,1.68,
10.060,1559,1.0060,3.682,3.61,3.97,0.71,1.00,0.56,1.05,1.73,
10.060,1560,1.0075,3.680,3.45,3.83,0.74,1.02,0.56,1.06,1.75,
10.060,1561,1.0090,3.678,3.28,3.66,0.76,1.03,0.57,1.07,1.76,
10.060,1562,1.0102,3.676,3.12,3.52,0.77,1.04,0.57,1.08,1.78,
10.060,1563,1.0114,3.674,2.94,3.35,0.79,1.05,0.58,1.08,1.79,
10.060,1564,1.0124,3.672,2.76,3.18,0.81,1.06,0.58,1.09,1.81,
10.060,1565,1.0132,3.670,2.61,3.04,0.83,1.07,0.59,1.10,1.83,
10.060,1566,1.0140,3.668,2.42,2.86,0.86,1.08,0.59,1.11,1.85,
10.060,1567,1.0146,3.666,2.26,2.71,0.88,1.09,0.60,1.12,1.86,
10.060,1568,1.0151,3.664,2.11,2.57,0.90,1.10,0.61,1.13,1.88,
10.060,1569,1.0156,3.661,1.93,2.41,0.93,1.12,0.61,1.15,1.91,
10.060,1570,1.0161,3.658,1.75,2.25,0.96,1.13,0.62,1.16,1.93,
10.060,1571,1.0165,3.655,1.59,2.11,0.99,1.15,0.63,1.17,1.96,
10.060,1572,1.0169,3.653,1.48,2.01,1.01,1.16,0.63,1.18,1.98,
10.060,1573,1.0172,3.655,1.53,2.05,1.00,1.15,0.63,1.17,1.96,
10.060,1574,1.0175,3.652,1.38,1.92,1.03,1.17,0.64,1.19,1.99,
10.060,1575,1.0178,3.649,1.23,1.79,1.06,1.18,0.65,1.21,2.02,
10.060,1576,1.0181,3.646,1.08,1.66,1.10,1.20,0.65,1.23,2.05,
10.060,1577,1.0184,3.643,0.90,1.51,1.14,1.22,0.67,1.24,2.08,
10.060,1578,1.0186,3.639,0.74,1.37,1.18,1.24,0.68,1.26,2.12,
10.060,1579,1.0188,3.635,0.55,1.22,1.24,1.26,0.69,1.29,2.16,
10.060,1580,1.0190,3.631,0.37,1.08,1.29,1.29,0.70,1.32,2.20,
10.060,1581,1.0191,3.627,0.22,0.95,1.34,1.31,0.72,1.34,2.25,
10.060,1582,1.0192,3.623,0.05,0.82,1.39,1.33,0.73,1.37,2.29,
10.060,1583,1.0193,3.619,-0.10,0.71,1.44,1.36,0.74,1.39,2.33,
10.060,1584,1.0194,3.615,-0.28,0.58,1.50,1.39,0.75,1.42,2.39,
10.060,1585,1.0195,3.610,-0.44,0.47,1.56,1.42,0.77,1.45,2.44,
10.060,1586,1.0196,3.605,-0.62,0.33,1.63,1.45,0.79,1.48,2.50,
10.060,1587,1.0196,3.601,-0.77,0.22,1.68,1.48,0.80,1.51,2.55,
10.060,1588,1.0197,3.596,-0.94,0.10,1.72,1.50,0.82,1.57,2.62,
10.060,1589,1.0198,3.589,-1.14,-0.03,1.75,1.52,0.84,1.64,2.70,
10.060,1590,1.0198,3.583,-1.29,-0.12,1.78,1.54,0.86,1.71,2.77,
10.060,1591,1.0198,3.576,-1.47,-0.22,1.81,1.56,0.88,1.78,2.86,
10.060,1592,1.0199,3.569,-1.64,-0.27,1.81,1.57,0.92,1.90,3.00,
10.060,1593,1.0199,3.560,-1.87,-0.27,1.81,1.57,0.98,2.09,3.23,
10.060,1594,1.0200,3.549,-2.13,-0.28,1.80,1.59,1.05,2.31,3.50,
10.060,1595,1.0200,3.534,-2.43,-0.09,1.69,1.60,1.16,2.63,4.03,
10.060,1596,1.0200,3.526,-2.62,0.04,1.61,1.60,1.23,2.81,4.38,
10.060,1597,1.0200,3.516,-2.83,0.23,1.50,1.61,1.31,3.05,4.81,
10.060,1598,1.0201,3.503,-3.05,0.39,1.43,1.61,1.37,3.30,5.24,
10.060,1599,1.0201,3.487,-3.31,0.48,1.40,1.61,1.40,3.54,5.63,
10.060,1600,1.0201,3.470,-3.61,0.57,1.37,1.62,1.44,3.81,6.07,
10.060,1601,1.0201,3.462,-3.71,0.64,1.36,1.62,1.46,3.93,6.27,
10.060,1602,0.8461,3.658,0.63,1.13,1.03,1.16,0.61,1.15,1.93,
10.060,1603,0.8462,3.654,0.53,1.05,1.07,1.18,0.62,1.17,1.97,
10.060,1604,0.8482,3.662,0.56,1.03,1.00,1.15,0.60,1.13,1.90,
10.060,1605,0.8491,3.658,0.40,0.90,1.05,1.17,0.61,1.15,1.94,
10.060,1606,0.8494,3.651,0.24,0.77,1.12,1.20,0.63,1.18,2.00,
10.060,1607,0.8496,3.645,0.06,0.65,1.19,1.24,0.65,1.22,2.06,
10.060,1608,0.8496,3.639,-0.10,0.53,1.26,1.27,0.67,1.26,2.12,
10.060,1609,0.8497,3.629,-0.35,0.36,1.39,1.32,0.70,1.32,2.22,
10.060,1610,0.8497,3.609,-0.86,0.06,1.64,1.45,0.77,1.46,2.46,
10.060,1611,0.8497,3.598,-1.15,-0.13,1.73,1.50,0.81,1.54,2.59,
10.060,1612,0.8497,3.607,-0.90,0.03,1.66,1.46,0.78,1.47,2.48,
10.060,1613,0.8497,3.614,-0.75,0.11,1.57,1.41,0.75,1.41,2.39,
10.060,1614,0.8498,3.607,-0.91,0.02,1.66,1.46,0.78,1.47,2.48,
10.060,1615,0.8499,3.600,-1.10,-0.10,1.72,1.49,0.81,1.52,2.56,
10.060,1616,0.8499,3.595,-1.26,-0.21,1.75,1.51,0.82,1.58,2.63,
10.060,1617,0.8499,3.586,-1.50,-0.35,1.78,1.53,0.85,1.68,2.74,
10.060,1618,0.8500,3.577,-1.71,-0.47,1.81,1.55,0.88,1.77,2.85,
10.060,1619,0.8500,3.560,-2.01,-0.44,1.81,1.57,0.98,2.07,3.21,
10.060,1620,0.8500,3.548,-2.23,-0.37,1.80,1.59,1.05,2.32,3.51,
10.060,1621,0.8500,3.538,-2.43,-0.24,1.74,1.59,1.13,2.54,3.86,
10.060,1622,0.8500,3.527,-2.61,0.01,1.62,1.60,1.22,2.79,4.33,
10.060,1623,0.8500,3.518,-2.78,0.20,1.52,1.61,1.29,3.00,4.72,
10.060,1624,0.8500,3.508,-2.95,0.37,1.44,1.61,1.36,3.21,5.10,
10.060,1625,0.8500,3.498,-3.12,0.42,1.42,1.61,1.38,3.37,5.35,
10.060,1626,0.8500,3.488,-3.28,0.50,1.40,1.61,1.40,3.53,5.61,
10.060,1627,0.8500,3.478,-3.43,0.57,1.39,1.62,1.43,3.68,5.87,
10.060,1628,0.8500,3.467,-3.60,0.66,1.37,1.62,1.45,3.86,6.16,
10.060,1629,0.8500,3.457,-3.75,0.72,1.35,1.62,1.47,4.01,6.40,
10.060,1630,0.8501,3.448,-3.91,0.78,1.33,1.62,1.49,4.16,6.65,
10.060,1631,0.8501,3.438,-4.06,0.84,1.31,1.62,1.51,4.31,6.89,
10.060,1632,0.8501,3.428,-4.22,0.91,1.29,1.63,1.54,4.47,7.15,
10.060,1633,0.8501,3.418,-4.38,0.98,1.27,1.63,1.56,4.62,7.40,
10.060,1634,0.8501,3.416,-4.41,1.00,1.27,1.63,1.56,4.66,7.46,
10.060,1635,0.5870,3.700,-4.48,-4.23,0.95,1.08,0.53,1.00,1.59,
10.060,1636,0.5870,4.141,-4.48,-3.48,-0.68,-0.12,-0.03,-0.08,-0.28,
10.060,1637,0.5870,4.392,-4.48,-2.11,-1.02,-0.24,-0.10,-0.25,-0.59,
10.060,1638,0.5870,4.553,-4.47,-1.18,-1.11,-0.29,-0.13,-0.31,-0.73,
10.060,1639,0.5870,4.684,-4.43,-0.21,-1.15,-0.32,-0.14,-0.34,-0.77,
10.060,1640,0.5870,4.815,-4.39,0.75,-1.17,-0.34,-0.15,-0.36,-0.81,
10.060,1641,0.5870,4.910,-4.30,1.51,-1.19,-0.35,-0.16,-0.38,-0.83,
10.060,1642,0.5870,5.006,-4.20,2.27,-1.20,-0.37,-0.17,-0.39,-0.86,
10.060,1643,0.5870,5.085,-3.96,3.04,-1.21,-0.37,-0.17,-0.40,-0.87,
10.060,1644,0.5870,5.131,-3.45,3.86,-1.21,-0.38,-0.17,-0.40,-0.88,
10.060,1645,0.5870,5.095,-2.18,4.89,-1.21,-0.37,-0.17,-0.40,-0.87,
10.060,1646,0.5870,5.094,-2.03,5.03,-1.21,-0.37,-0.17,-0.40,-0.87,
10.060,1647,0.5870,5.092,-1.87,5.18,-1.21,-0.37,-0.17,-0.40,-0.87,
10.060,1648,0.5870,5.086,-1.71,5.30,-1.21,-0.37,-0.17,-0.40,-0.87,
10.060,1649,0.5870,5.080,-1.56,5.41,-1.21,-0.37,-0.17,-0.40,-0.87,
10.060,1650,0.5870,5.074,-1.41,5.52,-1.20,-0.37,-0.17,-0.40,-0.87,
10.060,1651,0.5870,5.063,-1.25,5.60,-1.20,-0.37,-0.17,-0.40,-0.87,
10.060,1652,0.5870,5.052,-1.10,5.68,-1.20,-0.37,-0.17,-0.39,-0.87,
10.060,1653,0.5870,5.045,-0.99,5.74,-1.20,-0.37,-0.17,-0.39,-0.87,
10.060,1654,0.5870,5.024,-0.66,5.93,-1.20,-0.37,-0.17,-0.39,-0.86,
10.060,1655,0.5870,5.008,-0.39,6.09,-1.20,-0.37,-0.17,-0.39,-0.86,
10.060,1656,0.5870,4.997,-0.19,6.22,-1.20,-0.37,-0.17,-0.39,-0.86,
10.060,1657,0.5870,4.987,-0.02,6.32,-1.20,-0.37,-0.17,-0.39,-0.86,
10.060,1658,0.5870,4.977,0.15,6.42,-1.20,-0.37,-0.17,-0.39,-0.85,
10.060,1659,0.5870,4.967,0.33,6.53,-1.20,-0.37,-0.17,-0.38,-0.85,
10.060,1660,0.5870,4.957,0.50,6.63,-1.19,-0.36,-0.17,-0.38,-0.85,
10.060,1661,0.5870,4.947,0.67,6.74,-1.19,-0.36,-0.17,-0.38,-0.84,
10.060,1662,0.5870,4.937,0.85,6.84,-1.19,-0.36,-0.16,-0.38,-0.84,
10.060,1663,0.5870,4.927,1.02,6.94,-1.19,-0.36,-0.16,-0.38,-0.84,
10.040,1664,0.6000,3.592,7.68,8.72,1.11,1.36,0.86,1.67,2.62,
10.040,1665,0.6200,3.602,7.51,8.51,1.06,1.34,0.83,1.57,2.56,
10.040,1666,0.6400,3.613,7.34,8.25,1.03,1.29,0.81,1.50,2.44,
10.040,1667,0.6600,3.623,7.18,8.00,1.00,1.25,0.79,1.44,2.33,
10.040,1668,0.6800,3.633,7.01,7.74,0.96,1.21,0.75,1.37,2.22,
10.040,1669,0.7000,3.644,6.83,7.49,0.91,1.16,0.72,1.30,2.12,
10.040,1670,0.7200,3.654,6.67,7.24,0.86,1.11,0.68,1.24,2.01,
10.040,1671,0.7400,3.665,6.50,7.00,0.79,1.06,0.64,1.18,1.91,
10.040,1672,0.7600,3.675,6.33,6.75,0.72,1.02,0.60,1.11,1.81,
10.040,1673,0.7800,3.686,6.15,6.51,0.65,0.97,0.56,1.05,1.71,
10.040,1674,0.8000,3.697,5.96,6.26,0.58,0.93,0.53,0.99,1.61,
10.040,1675,0.8200,3.707,5.80,6.04,0.52,0.89,0.50,0.94,1.53,
10.040,1676,0.8400,3.716,5.62,5.83,0.45,0.85,0.48,0.90,1.45,
10.040,1677,0.8600,3.726,5.44,5.61,0.39,0.82,0.46,0.86,1.38,
10.040,1678,0.8800,3.734,5.25,5.39,0.33,0.78,0.43,0.82,1.32,
10.040,1679,0.9000,3.742,5.05,5.17,0.28,0.75,0.42,0.79,1.26,
10.040,1680,0.9200,3.748,4.88,4.99,0.24,0.73,0.41,0.77,1.23,
10.040,1681,0.9400,3.751,4.70,4.80,0.22,0.72,0.40,0.76,1.21,
10.040,1682,0.9550,3.754,4.55,4.64,0.20,0.71,0.39,0.75,1.19,
10.040,1683,0.9608,3.757,4.43,4.52,0.19,0.69,0.39,0.74,1.17,
10.040,1684,0.9729,3.756,4.28,4.36,0.19,0.70,0.39,0.74,1.17,
10.040,1685,0.9856,3.753,4.12,4.22,0.21,0.71,0.39,0.75,1.18,
10.040,1686,0.9970,3.747,3.97,4.07,0.25,0.73,0.41,0.78,1.23,
10.040,1687,1.0069,3.730,3.87,4.03,0.36,0.81,0.44,0.84,1.35,
10.040,1688,1.0115,3.709,3.88,4.12,0.51,0.89,0.49,0.93,1.50,
10.040,1689,1.0162,3.688,3.74,4.08,0.67,0.98,0.54,1.02,1.68,
10.040,1690,1.0182,3.683,3.58,3.94,0.71,1.00,0.56,1.04,1.72,
10.040,1691,1.0197,3.680,3.43,3.80,0.73,1.01,0.56,1.06,1.75,
10.040,1692,1.0212,3.678,3.26,3.64,0.75,1.03,0.57,1.07,1.76,
10.040,1693,1.0225,3.676,3.09,3.49,0.77,1.03,0.57,1.07,1.77,
10.040,1694,1.0237,3.675,2.92,3.33,0.79,1.04,0.57,1.08,1.79,
10.040,1695,1.0247,3.672,2.75,3.16,0.81,1.06,0.58,1.09,1.81,
10.040,1696,1.0255,3.671,2.60,3.02,0.83,1.07,0.59,1.10,1.82,
10.040,1697,1.0263,3.668,2.42,2.86,0.85,1.08,0.59,1.11,1.84,
10.040,1698,1.0269,3.666,2.27,2.71,0.87,1.09,0.60,1.12,1.86,
10.040,1699,1.0275,3.664,2.09,2.55,0.89,1.10,0.60,1.13,1.88,
10.040,1700,1.0280,3.661,1.93,2.40,0.92,1.11,0.61,1.14,1.90,
10.040,1701,1.0285,3.659,1.75,2.24,0.95,1.13,0.62,1.16,1.93,
10.040,1702,1.0289,3.656,1.60,2.11,0.98,1.14,0.63,1.17,1.95,
10.040,1703,1.0294,3.654,1.46,1.99,1.01,1.16,0.63,1.18,1.98,
10.040,1704,1.0297,3.655,1.51,2.03,0.99,1.15,0.63,1.17,1.96,
10.040,1705,1.0300,3.652,1.34,1.88,1.03,1.17,0.64,1.19,1.99,
10.040,1706,1.0304,3.648,1.16,1.73,1.07,1.19,0.65,1.21,2.03,
10.040,1707,1.0307,3.645,1.01,1.60,1.11,1.20,0.66,1.23,2.06,
10.040,1708,1.0310,3.642,0.84,1.45,1.15,1.22,0.67,1.25,2.09,
10.040,1709,1.0312,3.639,0.68,1.32,1.19,1.25,0.68,1.27,2.13,
10.040,1710,1.0314,3.635,0.52,1.19,1.24,1.26,0.69,1.29,2.16,
10.040,1711,1.0316,3.631,0.35,1.05,1.29,1.29,0.70,1.32,2.20,
10.040,1712,1.0317,3.627,0.20,0.94,1.34,1.31,0.71,1.34,2.24,
10.040,1713,1.0318,3.623,0.04,0.81,1.38,1.33,0.73,1.36,2.29,
10.040,1714,1.0319,3.619,-0.13,0.68,1.44,1.36,0.74,1.39,2.34,
10.040,1715,1.0320,3.615,-0.30,0.55,1.50,1.39,0.75,1.42,2.39,
10.040,1716,1.0321,3.610,-0.46,0.44,1.56,1.42,0.77,1.45,2.44,
10.040,1717,1.0322,3.606,-0.64,0.31,1.63,1.45,0.79,1.48,2.50,
10.040,1718,1.0323,3.600,-0.83,0.17,1.69,1.48,0.81,1.52,2.57,
10.040,1719,1.0323,3.594,-1.01,0.05,1.73,1.50,0.82,1.58,2.63,
10.040,1720,1.0324,3.588,-1.20,-0.08,1.76,1.52,0.85,1.65,2.71,
10.040,1721,1.0324,3.581,-1.36,-0.17,1.79,1.54,0.87,1.73,2.80,
10.040,1722,1.0325,3.574,-1.52,-0.27,1.81,1.56,0.89,1.80,2.88,
10.040,1723,1.0325,3.568,-1.71,-0.30,1.81,1.57,0.93,1.93,3.03,
10.040,1724,1.0325,3.557,-1.93,-0.28,1.81,1.58,1.00,2.14,3.29,
10.040,1725,1.0326,3.547,-2.18,-0.31,1.80,1.59,1.06,2.33,3.53,
10.040,1726,1.0326,3.533,-2.49,-0.08,1.68,1.60,1.17,2.66,4.10,
10.040,1727,1.0326,3.525,-2.67,0.03,1.60,1.60,1.24,2.84,4.42,
10.040,1728,1.0327,3.515,-2.87,0.23,1.49,1.61,1.32,3.07,4.85,
10.040,1729,1.0327,3.501,-3.09,0.39,1.43,1.61,1.37,3.32,5.28,
10.040,1730,1.0327,3.487,-3.34,0.46,1.40,1.61,1.41,3.55,5.64,
10.040,1731,1.0327,3.470,-3.63,0.55,1.37,1.62,1.44,3.81,6.07,
10.040,1732,1.0327,3.464,-3.71,0.61,1.36,1.62,1.46,3.91,6.24,
10.040,1733,0.8613,3.658,0.63,1.12,1.03,1.16,0.61,1.15,1.94,
10.040,1734,0.8615,3.654,0.53,1.05,1.07,1.18,0.62,1.17,1.97,
10.040,1735,0.8636,3.662,0.55,1.02,1.00,1.15,0.60,1.13,1.90,
10.040,1736,0.8645,3.657,0.40,0.89,1.05,1.17,0.61,1.15,1.94,
10.040,1737,0.8648,3.651,0.24,0.77,1.12,1.20,0.63,1.18,2.00,
10.040,1738,0.8650,3.645,0.07,0.65,1.19,1.24,0.65,1.22,2.06,
10.040,1739,0.8650,3.639,-0.09,0.54,1.25,1.27,0.67,1.26,2.12,
10.040,1740,0.8651,3.630,-0.33,0.38,1.37,1.32,0.70,1.32,2.21,
10.040,1741,0.8651,3.615,-0.73,0.12,1.56,1.41,0.75,1.41,2.38,
10.040,1742,0.8651,3.598,-1.15,-0.13,1.73,1.50,0.81,1.54,2.59,
10.040,1743,0.8651,3.608,-0.90,0.03,1.65,1.45,0.78,1.46,2.47,
10.040,1744,0.8651,3.615,-0.74,0.11,1.56,1.41,0.75,1.41,2.38,
10.040,1745,0.8652,3.607,-0.91,0.01,1.65,1.46,0.78,1.46,2.48,
10.040,1746,0.8653,3.601,-1.08,-0.09,1.71,1.49,0.80,1.51,2.55,
10.040,1747,0.8653,3.594,-1.28,-0.23,1.75,1.51,0.82,1.58,2.63,
10.040,1748,0.8654,3.586,-1.51,-0.36,1.78,1.53,0.85,1.68,2.74,
10.040,1749,0.8654,3.577,-1.71,-0.48,1.81,1.55,0.88,1.77,2.85,
10.040,1750,0.8654,3.562,-2.00,-0.46,1.81,1.57,0.97,2.05,3.18,
10.040,1751,0.8654,3.550,-2.21,-0.38,1.80,1.58,1.04,2.29,3.47,
10.040,1752,0.8654,3.539,-2.43,-0.28,1.75,1.59,1.12,2.52,3.82,
10.040,1753,0.8654,3.529,-2.60,-0.03,1.63,1.60,1.21,2.76,4.28,
10.040,1754,0.8654,3.520,-2.76,0.15,1.54,1.61,1.28,2.96,4.65,
10.040,1755,0.8655,3.511,-2.93,0.33,1.45,1.61,1.35,3.17,5.03,
10.040,1756,0.8655,3.501,-3.09,0.39,1.43,1.61,1.37,3.32,5.28,
10.040,1757,0.8655,3.491,-3.24,0.47,1.41,1.61,1.40,3.48,5.54,
10.040,1758,0.8655,3.469,-3.58,0.62,1.37,1.62,1.45,3.83,6.10,
10.040,1759,0.8655,3.468,-3.59,0.63,1.37,1.62,1.45,3.84,6.13,
10.040,1760,0.8655,3.450,-3.89,0.75,1.33,1.62,1.49,4.13,6.59,
10.040,1761,0.8655,3.431,-4.19,0.87,1.30,1.62,1.53,4.42,7.07,
10.040,1762,0.8655,3.414,-4.45,0.99,1.27,1.63,1.57,4.68,7.50,
10.040,1763,0.5902,3.700,-4.51,-4.27,0.95,1.08,0.53,1.00,1.59,
10.040,1764,0.5902,4.133,-4.51,-3.56,-0.65,-0.12,-0.03,-0.08,-0.27,
10.040,1765,0.5902,4.391,-4.51,-2.16,-1.02,-0.24,-0.10,-0.25,-0.59,
10.040,1766,0.5902,4.556,-4.50,-1.19,-1.11,-0.29,-0.13,-0.31,-0.73,
10.040,1767,0.5902,4.690,-4.47,-0.20,-1.16,-0.32,-0.14,-0.34,-0.77,
10.040,1768,0.5902,4.823,-4.43,0.77,-1.18,-0.34,-0.15,-0.36,-0.81,
10.040,1769,0.5902,4.920,-4.33,1.55,-1.19,-0.36,-0.16,-0.38,-0.84,
10.040,1770,0.5902,5.018,-4.23,2.32,-1.20,-0.37,-0.17,-0.39,-0.86,
10.040,1771,0.5902,5.097,-3.99,3.09,-1.21,-0.37,-0.17,-0.40,-0.87,
10.040,1772,0.5902,5.143,-3.43,3.95,-1.21,-0.38,-0.17,-0.40,-0.88,
10.040,1773,0.5902,5.096,-2.06,5.01,-1.21,-0.37,-0.17,-0.40,-0.87,
10.040,1774,0.5902,5.093,-1.91,5.15,-1.21,-0.37,-0.17,-0.40,-0.87,
10.040,1775,0.5902,5.090,-1.73,5.30,-1.21,-0.37,-0.17,-0.40,-0.87,
10.040,1776,0.5902,5.084,-1.58,5.41,-1.21,-0.37,-0.17,-0.40,-0.87,
10.040,1777,0.5902,5.077,-1.42,5.53,-1.21,-0.37,-0.17,-0.40,-0.87,
10.040,1778,0.5902,5.068,-1.27,5.62,-1.20,-0.37,-0.17,-0.40,-0.87,
10.040,1779,0.5902,5.056,-1.09,5.72,-1.20,-0.37,-0.17,-0.40,-0.87,
10.040,1780,0.5902,5.048,-0.96,5.78,-1.20,-0.37,-0.17,-0.39,-0.87,
10.040,1781,0.5902,5.026,-0.62,5.98,-1.20,-0.37,-0.17,-0.39,-0.86,
10.040,1782,0.5902,5.010,-0.35,6.15,-1.20,-0.37,-0.17,-0.39,-0.86,
10.040,1783,0.5902,4.999,-0.15,6.27,-1.20,-0.37,-0.17,-0.39,-0.86,
10.040,1784,0.5902,4.989,0.01,6.37,-1.20,-0.37,-0.17,-0.39,-0.86,
10.040,1785,0.5902,4.980,0.18,6.47,-1.20,-0.37,-0.17,-0.39,-0.85,
10.040,1786,0.5902,4.970,0.35,6.57,-1.20,-0.37,-0.17,-0.38,-0.85,
